timecode	yday	degC	Pa	pressAltComp
1530479414	181	21.4	101339	-1.0822539849738044
1530479914	181	21.4	101335	-1.331988940104547
1530480414	181	21.4	101332	-0.8325130435306272
1530480914	181	21.4	101337	-1.0822539849738044
1530481414	181	21.5	101334	-0.9990076696626327
1530481914	181	21.5	101340	-0.9990076696626327
1530482414	181	21.5	101320	-0.24976089818361746
1530482914	181	21.6	101315	0.41628146983422876
1530483414	181	21.6	101324	0.5827987152137848
1530483914	181	21.6	101333	-0.749264732690107
1530484414	181	21.6	101330	-0.16650793074375114
1530484914	181	21.6	101333	0.16651059194663254
1530485414	181	21.6	101320	0.33302384519457884
1530485914	181	21.6	101336	-0.749264732690107
1530486414	181	21.6	101337	-0.749264732690107
1530486914	181	21.6	101338	-0.9157606891750114
1530487414	181	21.5	101347	-0.749264732690107
1530487914	181	21.5	101342	-0.8325130435306272
1530488414	181	21.5	101338	-0.749264732690107
1530488914	181	21.5	101343	-1.4152325949067857
1530489414	181	21.5	101342	-1.5817179092279954
1530489914	182	21.5	101351	-1.9146805570523284
1530490414	182	21.4	101356	-2.1643955600689524
1530490914	182	21.4	101356	-2.1643955600689524
1530491414	182	21.4	101351	-2.747040626270447
1530491914	182	21.4	101345	-1.7482005632371367
1530492414	182	21.3	101355	-2.247632564415847
1530492914	182	21.3	101364	-1.7482005632371367
1530493414	182	21.3	101340	-1.4984755846113207
1530493914	182	21.3	101340	-0.8325130435306272
1530494414	182	21.2	101327	-0.0832542980093165
1530494914	182	21.2	101333	-1.2487446201947616
1530495414	182	21.2	101333	-0.8325130435306272
1530495914	182	21.2	101320	0.0
1530496414	182	21.2	101313	1.3321592573399588
1530496914	182	21.2	101316	0.0
1530497414	182	21.3	101317	-0.24976089818361746
1530497914	182	21.3	101320	-0.24976089818361746
1530498414	182	21.2	101327	0.24976688590363505
1530498914	182	21.3	101325	-0.24976089818361746
1530499414	182	21.2	101333	0.0
1530499914	182	21.2	101332	-0.5827661154305019
1530500414	182	21.2	101339	-0.8325130435306272
1530500914	182	21.3	101332	-0.5827661154305019
1530501414	182	21.3	101332	-0.41626483728792074
1530501914	182	21.3	101336	-0.41626483728792074
1530502414	182	21.3	101329	-0.8325130435306272
